# Voyager1 data from NASA JPL HORIZONS
# Updated through 2026-Aug-16; generated by scripts/update_data.py
# date, x_km, y_km, z_km, vx_km_s, vy_km_s, vz_km_s
$$SOE
1987-Apr-16, -2.137147638631736E+09, -3.199807135540758E+09, 2.332439324915741E+09, -2.535753901419766E+00, -1.467484181836273E+01, 1.061216524991742E+01
1987-May-16, -2.143710712533646E+09, -3.237828708250921E+09, 2.359934724289892E+09, -2.528386926051013E+00, -1.466284436809901E+01, 1.060344597036863E+01
1987-Jun-15, -2.150254921303314E+09, -3.275819572385985E+09, 2.387407727832639E+09, -2.521154236023601E+00, -1.465114871707114E+01, 1.059490180748409E+01
1987-Jul-15, -2.156780700730421E+09, -3.313780449995057E+09, 2.414858787814882E+09, -2.514209737149508E+00, -1.463971037554030E+01, 1.058651100342568E+01
1987-Aug-14, -2.163288687658646E+09, -3.351711998364021E+09, 2.442288269057165E+09, -2.507405744323654E+00, -1.462850334078673E+01, 1.057823502513908E+01
1987-Sep-13, -2.169779173544355E+09, -3.389614752505168E+09, 2.469696493932239E+09, -2.500713576056004E+00, -1.461747517243510E+01, 1.057010597610715E+01
1987-Oct-13, -2.176252570265335E+09, -3.427489157583843E+09, 2.497083821116583E+09, -2.494225435624355E+00, -1.460663181034987E+01, 1.056211310730459E+01
1987-Nov-12, -2.182709425391888E+09, -3.465335723598890E+09, 2.524450607299438E+09, -2.487944402720166E+00, -1.459600809441831E+01, 1.055425606027902E+01
1987-Dec-12, -2.189150211880538E+09, -3.503155044370784E+09, 2.551797200109003E+09, -2.481829744658235E+00, -1.458560286983322E+01, 1.054653263066479E+01
1988-Jan-11, -2.195575367978186E+09, -3.540947697003615E+09, 2.579123946472834E+09, -2.475880969053743E+00, -1.457543837373440E+01, 1.053894153317077E+01
1988-Feb-10, -2.201985280797730E+09, -3.578714350379110E+09, 2.606431180040811E+09, -2.470046590993018E+00, -1.456554118631248E+01, 1.053147414988738E+01
1988-Mar-11, -2.208380123635776E+09, -3.616455606994632E+09, 2.633719209713207E+09, -2.464259003673822E+00, -1.455582333416288E+01, 1.052412487367310E+01
1988-Apr-10, -2.214760075499402E+09, -3.654171853042101E+09, 2.660988342786659E+09, -2.458561541499876E+00, -1.454623823832623E+01, 1.051689227736904E+01
1988-May-10, -2.221125406236453E+09, -3.691863417586743E+09, 2.688238880732394E+09, -2.452976388775892E+00, -1.453678052704033E+01, 1.050977606324944E+01
1988-Jun-09, -2.227476432812302E+09, -3.729530594251426E+09, 2.715471123350415E+09, -2.447540785463467E+00, -1.452741785586378E+01, 1.050277613269747E+01
1988-Jul-09, -2.233813636923672E+09, -3.767173678932156E+09, 2.742685374935513E+09, -2.442312573691279E+00, -1.451820363197789E+01, 1.049589401441950E+01
1988-Aug-08, -2.240137537514685E+09, -3.804793169775784E+09, 2.769881932590597E+09, -2.437257768342011E+00, -1.450922142814548E+01, 1.048912134984161E+01
1988-Sep-07, -2.246448472426396E+09, -3.842389655730871E+09, 2.797061068834705E+09, -2.432311132972345E+00, -1.450044979079224E+01, 1.048245266623404E+01
1988-Oct-07, -2.252746715848748E+09, -3.879963696020087E+09, 2.824223059345377E+09, -2.427455628153018E+00, -1.449190119482430E+01, 1.047589012570846E+01
1988-Nov-06, -2.259032426546873E+09, -3.917515857822578E+09, 2.851368165832501E+09, -2.422624835961728E+00, -1.448355782174500E+01, 1.046942338920579E+01
1988-Dec-06, -2.265305623313183E+09, -3.955046539580894E+09, 2.878496636483548E+09, -2.417815447116904E+00, -1.447531647552124E+01, 1.046305535143246E+01
1989-Jan-05, -2.271566449726526E+09, -3.992555975776767E+09, 2.905608728586398E+09, -2.413089272173887E+00, -1.446716729716687E+01, 1.045678587873038E+01
1989-Feb-04, -2.277815163216091E+09, -4.030044453309150E+09, 2.932704698058475E+09, -2.408459376458367E+00, -1.445914458361542E+01, 1.045061348864521E+01
1989-Mar-06, -2.284052001435027E+09, -4.067512265849610E+09, 2.959784793800880E+09, -2.403937040609576E+00, -1.445122618185953E+01, 1.044453773882003E+01
1989-Apr-05, -2.290277276270705E+09, -4.104959746696029E+09, 2.986849264247880E+09, -2.399533146083424E+00, -1.444346416018794E+01, 1.043855580324028E+01
1989-May-05, -2.296491217386445E+09, -4.142387352200522E+09, 3.013898335052499E+09, -2.395175532561003E+00, -1.443588345081969E+01, 1.043265524141715E+01
1989-Jun-04, -2.302693898289680E+09, -4.179795457136411E+09, 3.040932225048207E+09, -2.390851185736674E+00, -1.442841232889475E+01, 1.042684195184279E+01
1989-Jul-04, -2.308885435583793E+09, -4.217184321560611E+09, 3.067951156305688E+09, -2.386581104755509E+00, -1.442103570527774E+01, 1.042111248943717E+01
1989-Aug-03, -2.315065973431163E+09, -4.254554190161257E+09, 3.094955339534253E+09, -2.382360272490599E+00, -1.441374566505158E+01, 1.041546232195178E+01
1989-Sep-02, -2.321235690148228E+09, -4.291905221884643E+09, 3.121944988030004E+09, -2.378246814830649E+00, -1.440650949921148E+01, 1.040989810685594E+01
1989-Oct-02, -2.327394929421251E+09, -4.329237641034327E+09, 3.148920324673841E+09, -2.374275879511459E+00, -1.439939783032738E+01, 1.040441849960894E+01
1989-Nov-01, -2.333543984673617E+09, -4.366551861139234E+09, 3.175881558696516E+09, -2.370377169561979E+00, -1.439246342056627E+01, 1.039901563913015E+01
1989-Dec-01, -2.339683015475915E+09, -4.403848304766415E+09, 3.202828890359103E+09, -2.366535213482274E+00, -1.438568421246721E+01, 1.039369117045751E+01
1989-Dec-31, -2.345812113837266E+09, -4.441127382592744E+09, 3.229762515865440E+09, -2.362705981334193E+00, -1.437906273281644E+01, 1.038843879896010E+01
1990-Jan-30, -2.351931224853568E+09, -4.478389464882648E+09, 3.256682611833514E+09, -2.358820927049814E+00, -1.437254679265123E+01, 1.038325087030346E+01
1990-Mar-01, -2.358040243181131E+09, -4.515634685955509E+09, 3.283589346417883E+09, -2.354934886897455E+00, -1.436605151805967E+01, 1.037813259401429E+01
1990-Mar-31, -2.364139268637650E+09, -4.552863079734418E+09, 3.310482919247072E+09, -2.351118610283131E+00, -1.435956970485435E+01, 1.037309280140975E+01
1990-Apr-30, -2.370228495161544E+09, -4.590074735124767E+09, 3.337363517501155E+09, -2.347373990842158E+00, -1.435312794045362E+01, 1.036811955647514E+01
1990-May-30, -2.376308163017935E+09, -4.627269735344351E+09, 3.364231305489983E+09, -2.343752478991015E+00, -1.434674010034988E+01, 1.036321551000529E+01
1990-Jun-29, -2.382378608644028E+09, -4.664448351621750E+09, 3.391086485638577E+09, -2.340246784577455E+00, -1.434049373758830E+01, 1.035838448383988E+01
1990-Jul-29, -2.388440003700981E+09, -4.701610970936004E+09, 3.417929213121354E+09, -2.336758914747095E+00, -1.433438257206785E+01, 1.035360774493620E+01
1990-Aug-28, -2.394492391505967E+09, -4.738757883717014E+09, 3.444759649492767E+09, -2.333295780108492E+00, -1.432837404600344E+01, 1.034889967900488E+01
1990-Sep-27, -2.400535819657533E+09, -4.775889330385855E+09, 3.471577952521692E+09, -2.329844508665266E+00, -1.432245035265522E+01, 1.034424643529251E+01
1990-Oct-27, -2.406570290472854E+09, -4.813005501705425E+09, 3.498384276255822E+09, -2.326389639752555E+00, -1.431657000249565E+01, 1.033965613034416E+01
1990-Nov-26, -2.412595886357795E+09, -4.850106451619432E+09, 3.525178785687955E+09, -2.323004401489916E+00, -1.431071446399166E+01, 1.033513032629431E+01
1990-Dec-26, -2.418612824787680E+09, -4.887192318882201E+09, 3.551961645499559E+09, -2.319704538607353E+00, -1.430494555818383E+01, 1.033066588170779E+01
1991-Jan-25, -2.424621250445340E+09, -4.924263363522392E+09, 3.578733006469868E+09, -2.316434420965757E+00, -1.429926711759754E+01, 1.032625862145277E+01
1991-Feb-24, -2.430621252599344E+09, -4.961319794514413E+09, 3.605493016274477E+09, -2.313200912384708E+00, -1.429367465717717E+01, 1.032190672521406E+01
1991-Mar-26, -2.436612893380969E+09, -4.998361868079726E+09, 3.632241821266851E+09, -2.309971406671073E+00, -1.428818958803957E+01, 1.031761080708578E+01
1991-Apr-25, -2.442596096210193E+09, -5.035389784752048E+09, 3.658979553282529E+09, -2.306698537981139E+00, -1.428273267668569E+01, 1.031336600332654E+01
1991-May-25, -2.448570835017750E+09, -5.072403526597207E+09, 3.685706345627424E+09, -2.303449201903252E+00, -1.427725138293116E+01, 1.030916870918966E+01
