$$SOE
1982-Dec-22, -1.205133482055148E+09, -1.107425814745792E+09, 4.358727300602800E+07, 5.771366490289083E+00, -1.884404742827295E+01, -4.517715561853199E-01
1983-Jan-21, -1.190053119830053E+09, -1.156155526182854E+09, 4.241196264897704E+07, 5.863895671235047E+00, -1.875602641874896E+01, -4.550670811666775E-01
1983-Feb-20, -1.174739244108321E+09, -1.204657059480012E+09, 4.122839621763611E+07, 5.951564952649300E+00, -1.866801896264076E+01, -4.581422596600886E-01
1983-Mar-22, -1.159204285801805E+09, -1.252930760088500E+09, 4.003713584469187E+07, 6.034512848371002E+00, -1.858026781268151E+01, -4.610058762184153E-01
1983-Apr-21, -1.143460250806155E+09, -1.300977580017232E+09, 3.883871194086498E+07, 6.112927827935993E+00, -1.849298586268297E+01, -4.636724787067283E-01
1983-May-21, -1.127518646614677E+09, -1.348798889125930E+09, 3.763362368082285E+07, 6.186968665822633E+00, -1.840628238870568E+01, -4.661478164741784E-01
1983-Jun-20, -1.111390707007705E+09, -1.396396402907891E+09, 3.642236252881235E+07, 6.256724816867415E+00, -1.832033757600709E+01, -4.684369127220842E-01
1983-Jul-20, -1.095087355409244E+09, -1.443772366580530E+09, 3.520539698742980E+07, 6.322355164544392E+00, -1.823536460677824E+01, -4.705518874226149E-01
1983-Aug-19, -1.078619030322579E+09, -1.490929483556848E+09, 3.398316754839313E+07, 6.384039778672366E+00, -1.815150035656884E+01, -4.724989424694526E-01
1983-Sep-18, -1.061995746456955E+09, -1.537870858689998E+09, 3.275609890801150E+07, 6.441959175149713E+00, -1.806892440105241E+01, -4.742880684329327E-01
1983-Oct-18, -1.045226941537476E+09, -1.584600030340775E+09, 3.152457969061673E+07, 6.496377116029621E+00, -1.798777385978038E+01, -4.759359232858351E-01
1983-Nov-17, -1.028321356479391E+09, -1.631120706628121E+09, 3.028896408485031E+07, 6.547523790144917E+00, -1.790805117465744E+01, -4.774493080231110E-01
1983-Dec-17, -1.011287260241887E+09, -1.677436628149468E+09, 2.904959196475244E+07, 6.595563832420070E+00, -1.782978811014576E+01, -4.788358985010879E-01
1984-Jan-16, -9.941324845020320E+08, -1.723551619897991E+09, 2.780677812731910E+07, 6.640673556025989E+00, -1.775300911468311E+01, -4.801065151499886E-01
1984-Feb-15, -9.768644526835469E+08, -1.769469483124146E+09, 2.656082049437416E+07, 6.682960189028569E+00, -1.767769040169040E+01, -4.812616106765164E-01
1984-Mar-16, -9.594903763573234E+08, -1.815194094661774E+09, 2.531201260297692E+07, 6.722518793979448E+00, -1.760391013660892E+01, -4.823072902136358E-01
1984-Apr-15, -9.420171131571225E+08, -1.860729560566364E+09, 2.406062177570486E+07, 6.759531200287020E+00, -1.753174592192856E+01, -4.832565044581045E-01
1984-May-15, -9.244510390164332E+08, -1.906080053009668E+09, 2.280689160525239E+07, 6.794151356094437E+00, -1.746119018697214E+01, -4.841131609475831E-01
1984-Jun-14, -9.067981656712495E+08, -1.951249786120183E+09, 2.155105127512026E+07, 6.826533353109968E+00, -1.739227368417816E+01, -4.848864427894766E-01
1984-Jul-14, -8.890640492363269E+08, -1.996243009205615E+09, 2.029330080236149E+07, 6.856871303653176E+00, -1.732497678829000E+01, -4.855880672691395E-01
1984-Aug-13, -8.712538373166598E+08, -2.041063786608598E+09, 1.903382645041549E+07, 6.885255259480205E+00, -1.725921142790614E+01, -4.862166069456793E-01
1984-Sep-12, -8.533725205064175E+08, -2.085716086807149E+09, 1.777281442918301E+07, 6.911748079906615E+00, -1.719498407223960E+01, -4.867753902755680E-01
1984-Oct-12, -8.354248553658584E+08, -2.130203934369542E+09, 1.651043535178494E+07, 6.936472907673796E+00, -1.713231080172208E+01, -4.872718037679240E-01
1984-Nov-11, -8.174153125180001E+08, -2.174531315637636E+09, 1.524685294786310E+07, 6.959505760141430E+00, -1.707117636603673E+01, -4.877045290213680E-01
